--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,X_Puck(cm),Y_Puck(cm)
0.01,6.99,5.08,0.00,0.04,0.00,0.04,33.60,19.32
1.39,7.00,5.08,0.04,0.11,0.04,0.11,33.90,19.46
2.93,7.02,5.08,0.25,0.41,0.25,0.41,34.23,19.61
4.45,7.05,5.09,0.58,0.74,0.58,0.74,34.53,19.76
5.98,7.10,5.09,1.26,0.70,1.26,0.70,34.83,19.89
7.49,7.16,5.10,1.31,1.66,1.31,1.66,35.11,20.02
9.02,7.24,5.11,2.56,2.02,2.56,2.02,35.38,20.15
10.55,7.33,5.12,2.84,2.40,2.84,2.40,35.64,20.26
12.07,7.43,5.13,3.43,3.55,3.43,3.55,35.89,20.37
13.61,7.55,5.15,4.58,3.57,4.58,3.57,36.12,20.48
15.14,7.68,5.16,4.76,4.53,4.76,4.53,36.34,20.57
16.68,7.82,5.18,6.37,5.57,6.37,5.57,36.54,20.66
18.22,7.98,5.19,6.90,5.81,6.90,5.81,36.74,20.74
19.76,8.15,5.21,7.80,7.31,7.80,7.31,36.92,20.82
21.30,8.33,5.24,9.36,7.81,9.36,7.81,37.08,20.89
22.83,8.52,5.26,9.13,8.44,9.13,8.44,37.24,20.95
24.36,8.72,5.28,11.18,9.95,11.18,9.95,37.38,21.00
25.90,8.94,5.31,11.28,10.18,11.28,10.18,37.50,21.05
27.44,9.16,5.33,12.35,11.43,12.35,11.43,37.62,21.09
28.98,9.40,5.36,13.71,12.28,13.71,12.28,37.72,21.12
30.52,9.65,5.39,13.56,12.66,13.56,12.66,37.80,21.14
32.08,9.91,5.42,15.84,14.17,15.84,14.17,37.88,21.16
33.62,10.18,5.45,15.14,14.30,15.14,14.30,37.94,21.17
35.17,10.46,5.48,16.80,15.30,16.80,15.30,37.99,21.18
36.72,10.75,5.52,17.16,16.10,17.16,16.10,38.02,21.17
38.25,11.05,5.55,17.03,16.41,17.03,16.41,38.04,21.16
39.79,11.35,5.59,18.99,17.44,18.99,17.44,38.05,21.14
41.33,11.67,5.62,17.72,17.82,17.72,17.82,38.04,21.12
42.88,12.00,5.66,19.53,18.34,19.53,18.34,38.02,21.09
44.42,12.33,5.70,19.02,18.80,19.02,18.80,37.99,21.05
45.95,12.67,5.74,19.16,19.10,19.16,19.10,37.94,21.00
47.48,13.02,5.78,19.89,19.71,19.89,19.71,37.88,20.95
49.03,13.38,5.82,19.21,19.97,19.21,19.97,37.81,20.89
50.59,13.75,5.86,20.08,20.47,20.08,20.47,37.72,20.82
52.13,14.13,5.91,19.46,20.53,19.46,20.53,37.62,20.75
53.68,14.51,5.95,19.35,20.99,19.35,20.99,37.51,20.66
55.24,14.90,6.00,19.35,21.35,19.35,21.35,37.38,20.57
56.78,15.30,6.04,18.96,21.28,18.96,21.28,37.24,20.48
58.32,15.70,6.09,18.72,21.75,18.72,21.75,37.09,20.37
59.86,16.11,6.14,18.28,21.72,18.28,21.72,36.92,20.26
61.42,16.52,6.19,18.01,21.90,18.01,21.90,36.74,20.14
62.95,16.94,6.24,17.37,22.01,17.37,22.01,36.54,20.02
64.50,17.37,6.28,17.23,21.46,17.23,21.46,36.34,19.89
66.04,17.80,6.33,16.15,21.82,16.15,21.82,36.12,19.75
67.58,18.24,6.39,15.80,21.79,15.80,21.79,35.88,19.60
69.13,18.68,6.44,14.83,21.48,14.83,21.48,35.64,19.45
70.68,19.13,6.49,14.00,21.60,14.00,21.60,35.37,19.29
72.21,19.58,6.54,13.65,21.06,13.65,21.06,35.10,19.12
73.76,20.03,6.59,12.28,20.91,12.28,20.91,34.81,18.95
75.29,20.49,6.65,11.77,20.73,11.77,20.73,34.51,18.76
76.85,20.95,6.70,10.68,19.98,10.68,19.98,34.20,18.57
78.39,21.42,6.75,9.75,20.05,9.75,20.05,33.87,18.38
79.93,21.89,6.81,8.94,19.49,8.94,19.49,33.53,18.17
81.48,22.36,6.86,7.59,18.87,7.59,18.87,33.17,17.96
83.03,22.84,6.92,6.73,18.35,6.73,18.35,32.80,17.74
84.58,23.32,6.98,5.56,17.61,5.56,17.61,32.42,17.52
86.12,23.80,7.03,4.39,17.09,4.39,17.09,32.03,17.29
87.66,24.28,7.09,3.25,16.39,3.25,16.39,31.62,17.05
89.21,24.77,7.14,2.09,15.62,2.09,15.62,31.20,16.80
90.75,25.25,7.20,1.06,14.93,1.06,14.93,30.76,16.55
92.30,25.74,7.26,-0.03,14.16,-0.03,14.16,30.31,16.29
93.84,26.23,7.31,-1.08,13.47,-1.08,13.47,29.85,16.02
95.39,26.72,7.37,-2.19,12.85,-2.19,12.85,29.38,15.74
96.94,27.21,7.43,-3.26,12.17,-3.26,12.17,28.89,15.46
98.50,27.70,7.48,-4.19,11.46,-4.19,11.46,28.38,15.17
100.04,28.19,7.54,-4.97,10.89,-4.97,10.89,27.86,14.87
101.59,28.69,7.60,-5.99,10.23,-5.99,10.23,27.33,14.56
