Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,,,,
3.16,0,0,-2.81,-1.14,-64.62,-27.29,-20,-20,,,,
4.38,0,0,-2.83,-1.14,-64.93,-27.73,-20,-20,,,,
5.72,0,0,-2.86,-1.13,-65.3,-28.21,-20,-20,,,,
6.87,0,0,-2.88,-1.13,-65.72,-28.61,-20,-20,,,,
8.09,0,0,-2.92,-1.13,-66.25,-29.22,-20,-20,,,,
9.48,0,0,-2.96,-1.13,-67.06,-29.97,-20,-20,,,,
10.66,0,0,-3.01,-1.13,-67.74,-30.65,-20,-20,,,,
12.06,0,0,-3.06,-1.13,-68.55,-31.62,-20,-20,,,,
12.98,0,0,-3.09,-1.13,-69.13,-32.19,-20,-20,,,,
14.33,0,0,-3.15,-1.13,-70.07,-33.2,-20,-20,,,,
15.67,0,0,-3.22,-1.12,-71.15,-34.41,-20,-20,,,,
17.01,0,0,-3.29,-1.12,-72.27,-35.55,-20,-20,,,,
18.1,0,0,-3.35,-1.12,-73.19,-36.47,-20,-20,,,,
19.35,0,0,-3.42,-1.12,-74.36,-37.64,-20,-20,,,,
20.74,0,0,-3.51,-1.12,-75.72,-39.09,-20,-20,,,,
22.08,0,0,-3.59,-1.12,-77.1,-40.52,-20,-20,,,,
23.46,0,0,-3.69,-1.12,-78.66,-42.03,-20,-20,,,,
24.3,0,0,-3.74,-1.12,-79.63,-42.87,-20,-20,,,,
25.64,0,0,-3.84,-1.12,-81.17,-44.49,-20,-20,,,,
26.99,0,0,-3.94,-1.12,-82.84,-46.23,-20,-20,,,,
28.33,0,0,-4.05,-1.12,-84.53,-47.99,-20,-20,,,,
29.37,0,0,-4.13,-1.11,-85.89,-49.46,-20,-20,,,,
30.74,0,0,-4.25,-1.11,-87.82,-51.48,-20,-20,,,,
32.01,0,0,-4.37,-1.11,-89.65,-53.33,-20,-20,,,,
33.41,0,0,-4.5,-1.11,-91.71,-55.52,-20,-20,,,,
34.72,0,0,-4.62,-1.1,-93.71,-57.68,-20,-20,,,,
35.58,0,0,-4.71,-1.1,-95.14,-59.06,-20,-20,,,,
36.92,0,0,-4.84,-1.1,-97.36,-61.26,-20,-20,,,,
38.26,0,0,-4.98,-1.1,-99.49,-63.52,-20,-20,,,,
39.59,0,0,-5.12,-1.1,-101.87,-65.87,-20,-20,,,,
40.82,0,0,-5.26,-1.1,-104.13,-68.09,-20,-20,,,,
42.04,0,0,-5.4,-1.1,-106.48,-70.31,-20,-20,,,,
43.41,0,0,-5.56,-1.1,-108.96,-72.93,-20,-20,,,,
44.73,0,0,-5.71,-1.1,-111.49,-75.52,-20,-20,,,,
46.12,0,0,-5.88,-1.1,-114.24,-78.38,-20,-20,,,,
47.44,0,0,-6.05,-1.09,-116.83,-81.15,-20,-20,,,,
48.84,0,0,-6.22,-1.09,-119.77,-84.02,-20,-20,,,,
49.68,0,0,-6.33,-1.09,-121.42,-85.78,-20,-20,,,,
51.02,0,0,-6.5,-1.09,-124.26,-88.66,-20,-20,,,,
52.37,0,0,-6.68,-1.09,-127.24,-91.6,-20,-20,,,,
53.72,0,0,-6.87,-1.09,-130.19,-94.66,-20,-20,,,,
54.87,0,0,-7.03,-1.09,-132.8,-97.21,-20,-20,,,,
56.1,0,0,-7.2,-1.09,-135.68,-100.13,-20,-20,,,,
57.48,0,0,-7.4,-1.08,-138.96,-103.47,-20,-20,,,,
58.86,0,0,-7.6,-1.08,-142.12,-106.77,-20,-20,,,,
60.25,0,0,-7.81,-1.07,-145.39,-110.24,-20,-20,,,,
61.58,0,0,-8.01,-1.08,-148.69,-113.42,-20,-20,,,,
63,0,0,-8.22,-1.07,-152.09,-117.03,-20,-20,,,,
63.84,0,0,-8.35,-1.08,-154.34,-119.05,-20,-20,,,,
65.21,0,0,-8.56,-1.07,-157.72,-122.67,-20,-20,,,,
66.57,0,0,-8.78,-1.08,-161.26,-126.06,-20,-20,,,,
67.92,0,0,-9,-1.07,-164.82,-129.77,-20,-20,,,,
69.28,0,0,-9.22,-1.07,-168.4,-133.33,-20,-20,,,,
70.44,0,0,-9.4,-1.07,-171.5,-136.38,-20,-20,,,,
71.74,0,0,-9.62,-1.07,-175.01,-139.9,-20,-20,,,,
73.13,0,0,-9.85,-1.07,-178.79,-143.77,-20,-20,,,,
74.4,0,0,-10.06,-1.07,-182.24,-147.19,-20,-20,,,,
75.79,0,0,-10.3,-1.07,-186.17,-151.15,-20,-20,,,,
77.19,0,0,-10.54,-1.07,-190.06,-155.15,-20,-20,,,,
78.62,0,0,-10.79,-1.07,-194.13,-159.17,-20,-20,,,,
79.88,0,0,-11.01,-1.07,-197.75,-162.8,-20,-20,,,,
81.31,0,0,-11.27,-1.07,-201.88,-167.01,0,0,,,,
82.15,0,0,-11.42,-1.06,-204.28,-169.48,0,0,,,,
83.5,0,0,-11.65,-1.06,-208.06,-173.3,0,0,,,,
84.8,0,0,-11.87,-1.06,-211.71,-176.95,0,0,,,,
86.02,0,0,-12.07,-1.06,-214.89,-180.29,0,0,,,,
87.18,0,0,-12.26,-1.06,-217.99,-183.36,0,0,,,,
88.58,0,0,-12.48,-1.06,-221.59,-186.99,0,0,,,,
89.79,0,0,-12.67,-1.06,-224.65,-190.09,0,0,,,,
91.18,0,0,-12.87,-1.05,-227.9,-193.43,0,0,,,,
92.06,0,0,-13,-1.05,-229.99,-195.49,0,0,,,,
93.4,0,0,-13.18,-1.05,-233,-198.57,0,0,,,,
94.71,0,0,-13.35,-1.05,-235.72,-201.47,0,0,,,,
95.84,0,0,-13.5,-1.04,-238.12,-203.91,0,0,,,,
97.07,0,0,-13.66,-1.04,-240.6,-206.48,0,0,,,,
98.47,0,0,-13.82,-1.04,-243.28,-209.18,0,0,,,,
99.68,0,0,-13.96,-1.04,-245.63,-211.49,0,0,,,,
101.07,0,0,-14.12,-1.04,-248.12,-214.08,0,0,,,,
101.96,0,0,-14.21,-1.04,-249.74,-215.6,0,0,,,,
103.31,0,0,-14.36,-1.04,-252.05,-218.08,0,0,,,,
104.67,0,0,-14.49,-1.04,-254.36,-220.19,0,0,,,,
106.01,0,0,-14.62,-1.04,-256.38,-222.43,0,0,,,,
107.04,0,0,-14.72,-1.03,-257.92,-224.03,0,0,,,,
108.44,0,0,-14.84,-1.03,-259.91,-226.03,0,0,,,,
109.65,0,0,-14.94,-1.03,-261.56,-227.68,0,0,,,,
111.05,0,0,-15.05,-1.03,-263.32,-229.55,0,0,,,,
112.42,0,0,-15.16,-1.03,-265.06,-231.28,0,0,,,,
113.25,0,0,-15.23,-1.03,-266.18,-232.34,0,0,,,,
114.58,0,0,-15.32,-1.03,-267.65,-234.05,0,0,,,,
115.92,0,0,-15.42,-1.03,-269.23,-235.57,0,0,,,,
117.09,0,0,-15.49,-1.03,-270.42,-236.84,0,0,,,,
118.42,0,0,-15.58,-1.02,-271.82,-238.27,0,0,,,,
119.62,0,0,-15.65,-1.02,-273.01,-239.48,0,0,,,,
120.98,0,0,-15.73,-1.02,-274.22,-240.84,0,0,,,,
122.39,0,0,-15.81,-1.02,-275.41,-242.07,0,0,,,,
123.75,0,0,-15.88,-1.01,-276.5,-243.28,0,0,,,,
124.58,0,0,-15.92,-1.02,-277.19,-243.9,0,0,,,,
125.93,0,0,-15.98,-1.01,-278.17,-245.04,0,0,,,,
127.28,0,0,-16.04,-1.01,-279.12,-246.07,0,0,,,,
128.61,0,0,-16.09,-1.01,-279.98,-246.91,0,0,,,,
129.71,0,0,-16.14,-1.01,-280.72,-247.61,0,0,,,,
130.95,0,0,-16.18,-1.01,-281.32,-248.36,0,0,,,,
132.32,0,0,-16.22,-1.01,-282.08,-249.1,0,0,,,,
133.72,0,0,-16.26,-1.01,-282.7,-249.76,0,0,,,,
134.99,0,0,-16.3,-1,-283.18,-250.4,0,0,,,,
135.88,0,0,-16.32,-1,-283.62,-250.8,0,0,,,,
137.23,0,0,-16.36,-1,-284.15,-251.32,0,0,,,,
138.58,0,0,-16.38,-1,-284.48,-251.83,0,0,,,,
139.91,0,0,-16.41,-1,-284.85,-252.27,0,0,,,,
141.05,0,0,-16.42,-0.99,-285.12,-252.6,0,0,,,,
142.28,0,0,-16.44,-0.99,-285.42,-252.95,0,0,,,,
143.65,0,0,-16.46,-0.99,-285.69,-253.34,0,0,,,,
145.05,0,0,-16.48,-0.99,-285.95,-253.59,0,0,,,,
146.27,0,0,-16.49,-0.98,-286.08,-253.89,0,0,,,,
147.22,0,0,-16.5,-0.99,-286.3,-254.05,0,0,,,,
148.55,0,0,-16.51,-0.98,-286.41,-254.22,0,0,,,,
149.9,0,0,-16.52,-0.98,-286.5,-254.33,0,0,,,,
151.22,0,0,-16.52,-0.98,-286.57,-254.47,0,0,,,,
152.35,0,0,-16.53,-0.98,-286.59,-254.53,0,0,,,,
153.61,0,0,-16.53,-0.97,-286.57,-254.69,0,0,,,,
154.98,0,0,-16.53,-0.98,-286.59,-254.6,0,0,,,,
156.3,0,0,-16.53,-0.97,-286.5,-254.66,0,0,,,,
157.71,0,0,-16.52,-0.97,-286.37,-254.64,0,0,,,,
158.96,0,0,-16.52,-0.97,-286.39,-254.64,0,0,,,,
159.87,0,0,-16.52,-0.97,-286.33,-254.6,0,0,,,,
========================= [SUCCESS] Took 11.40 seconds =========================,,,,,,,,,,,,
