Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,,,,
0.85,0,0,-5.99,-3.37,-153.15,-42.91,-70,70,,,,
2.3,0,0,-5.99,-3.39,-153.54,-42.47,-70,70,,,,
3.14,0,0,-6,-3.43,-154.34,-41.97,-70,70,,,,
4.38,0,0,-6,-3.49,-155.43,-41.04,-70,70,,,,
5.71,0,0,-6.01,-3.56,-156.71,-40.03,-70,70,,,,
6.89,0,0,-6.01,-3.64,-157.94,-38.91,-70,70,,,,
8.09,0,0,-6.02,-3.72,-159.41,-37.6,-70,70,,,,
9.49,0,0,-6.02,-3.83,-161.28,-35.88,-70,70,,,,
10.66,0,0,-6.01,-3.91,-162.49,-34.43,-70,70,,,,
12.06,0,0,-6,-4.01,-163.81,-32.56,-70,70,,,,
12.98,0,0,-5.99,-4.07,-164.58,-31.38,-70,70,,,,
14.32,0,0,-5.96,-4.15,-165.54,-29.62,-70,70,,,,
15.67,0,0,-5.94,-4.24,-166.55,-27.8,-70,70,,,,
17.01,0,0,-5.92,-4.33,-167.89,-26.02,-70,70,,,,
18.09,0,0,-5.91,-4.42,-169.17,-24.43,-70,70,,,,
19.35,0,0,-5.92,-4.54,-171.12,-22.63,-70,70,,,,
20.74,0,0,-5.93,-4.68,-173.58,-20.41,-70,70,,,,
22.06,0,0,-5.93,-4.83,-176.18,-18.08,-70,70,,,,
23.43,0,0,-5.93,-5,-178.99,-15.21,-70,70,,,,
24.27,0,0,-5.94,-5.12,-181.1,-13.36,-70,70,,,,
25.63,0,0,-5.94,-5.32,-184.26,-10.11,-70,70,,,,
26.97,0,0,-5.92,-5.53,-187.54,-6.42,-70,70,,,,
28.3,0,0,-5.92,-5.74,-190.83,-2.86,-70,70,,,,
29.44,0,0,-5.91,-5.92,-193.78,0.2,-70,70,,,,
30.61,0,0,-5.92,-6.13,-197.16,3.41,-70,70,,,,
31.99,0,0,-5.93,-6.37,-201.29,7.12,-70,70,,,,
33.32,0,0,-5.93,-6.61,-205.25,11.1,-70,70,,,,
34.17,0,0,-5.93,-6.77,-207.8,13.71,-70,70,,,,
35.51,0,0,-5.92,-7.02,-211.79,18,-70,70,,,,
36.84,0,0,-5.91,-7.28,-215.93,22.54,-70,70,,,,
38.17,0,0,-5.91,-7.56,-220.5,27.07,-70,70,,,,
39.23,0,0,-5.91,-7.79,-224.32,30.72,-70,70,,,,
40.55,0,0,-5.92,-8.08,-229.22,35.38,-70,70,,,,
41.83,0,0,-5.92,-8.37,-233.85,40.08,-70,70,,,,
43.21,0,0,-5.92,-8.69,-239.11,45.26,-70,70,,,,
44.05,0,0,-5.92,-8.89,-242.38,48.65,-70,70,,,,
45.4,0,0,-5.93,-9.22,-247.96,53.92,-70,70,,,,
46.73,0,0,-5.93,-9.56,-253.61,59.44,-70,70,,,,
48.06,0,0,-5.93,-9.9,-259.23,65.04,-70,70,,,,
49.12,0,0,-5.93,-10.18,-263.76,69.7,-70,70,,,,
50.45,0,0,-5.93,-10.54,-269.58,75.48,0,0,,,,
51.75,0,0,-5.93,-10.89,-275.43,81.21,0,0,,,,
53.08,0,0,-5.93,-11.24,-280.99,86.88,0,0,,,,
53.91,0,0,-5.93,-11.43,-284.28,90.07,0,0,,,,
55.22,0,0,-5.93,-11.74,-289.27,95.08,0,0,,,,
56.54,0,0,-5.93,-12.05,-294.32,100.09,0,0,,,,
57.57,0,0,-5.94,-12.31,-298.74,104.37,0,0,,,,
58.86,0,0,-5.93,-12.65,-304.3,110,0,0,,,,
60.21,0,0,-5.93,-13.03,-310.39,116.1,0,0,,,,
61.55,0,0,-5.93,-13.4,-316.56,122.26,0,0,,,,
62.38,0,0,-5.94,-13.64,-320.38,126.04,0,0,,,,
63.71,0,0,-5.94,-14,-326.47,131.9,0,0,,,,
65.02,0,0,-5.94,-14.36,-332.23,137.77,0,0,,,,
66.08,0,0,-5.94,-14.63,-336.71,142.27,0,0,,,,
67.36,0,0,-5.94,-14.94,-341.85,147.33,0,0,,,,
68.69,0,0,-5.95,-15.25,-346.99,152.31,0,0,,,,
70.01,0,0,-5.94,-15.55,-351.87,157.3,0,0,,,,
70.85,0,0,-5.94,-15.75,-355.06,160.47,0,0,,,,
72.18,0,0,-5.94,-16.06,-360.22,165.65,0,0,,,,
73.49,0,0,-5.94,-16.39,-365.52,170.97,0,0,,,,
74.58,0,0,-5.95,-16.66,-370.13,175.32,0,0,,,,
75.78,0,0,-5.95,-16.95,-374.92,180.15,0,0,,,,
77.12,0,0,-5.95,-17.28,-380.21,185.54,0,0,,,,
78.49,0,0,-5.94,-17.61,-385.47,191.03,0,0,,,,
79.32,0,0,-5.94,-17.8,-388.7,194.24,0,0,,,,
80.65,0,0,-5.94,-18.11,-393.73,199.23,0,0,,,,
81.97,0,0,-5.94,-18.4,-398.52,203.91,0,0,,,,
83.08,0,0,-5.95,-18.63,-402.43,207.64,0,0,,,,
84.24,0,0,-5.94,-18.88,-406.34,211.79,0,0,,,,
85.63,0,0,-5.95,-19.17,-411.11,216.36,0,0,,,,
86.99,0,0,-5.95,-19.45,-415.81,221.04,0,0,,,,
87.82,0,0,-5.95,-19.63,-418.69,223.97,0,0,,,,
89.16,0,0,-5.94,-19.92,-423.35,228.71,0,0,,,,
90.47,0,0,-5.94,-20.2,-427.92,233.28,0,0,,,,
91.54,0,0,-5.94,-20.43,-431.76,237.22,0,0,,,,
92.74,0,0,-5.95,-20.69,-436.05,241.35,0,0,,,,
94.13,0,0,-5.94,-20.98,-440.73,246.18,0,0,,,,
95.5,0,0,-5.95,-21.25,-445.28,250.62,0,0,,,,
96.33,0,0,-5.94,-21.42,-447.98,253.37,0,0,,,,
97.66,0,0,-5.94,-21.68,-452.07,257.59,0,0,,,,
98.99,0,0,-5.94,-21.92,-456.09,261.54,0,0,,,,
99.94,0,0,-5.94,-22.1,-458.99,264.46,0,0,,,,
========================= [SUCCESS] Took 12.86 seconds =========================,,,,,,,,,,,,
