Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,,,,
1.67,0,0,5.49,-0.96,74.07,105.51,20,-20,,,,
2.98,0,0,5.48,-0.95,74.25,105.25,20,-20,,,,
4.28,0,0,5.49,-0.93,74.58,105.01,20,-20,,,,
5.37,0,0,5.48,-0.91,74.77,104.61,20,-20,,,,
6.46,0,0,5.48,-0.9,75.04,104.39,20,-20,,,,
7.82,0,0,5.48,-0.88,75.28,104.17,20,-20,,,,
8.74,0,0,5.48,-0.87,75.41,103.95,20,-20,,,,
10.05,0,0,5.48,-0.86,75.63,103.69,20,-20,,,,
11.36,0,0,5.48,-0.84,75.87,103.47,20,-20,,,,
12.37,0,0,5.47,-0.83,76.07,103.16,20,-20,,,,
13.66,0,0,5.47,-0.81,76.42,102.79,20,-20,,,,
14.99,0,0,5.47,-0.78,76.79,102.28,20,-20,,,,
15.82,0,0,5.47,-0.76,77.1,101.95,20,-20,,,,
17.12,0,0,5.47,-0.72,77.74,101.27,20,-20,,,,
18.43,0,0,5.47,-0.68,78.4,100.61,20,-20,,,,
19.53,0,0,5.47,-0.64,78.99,100.02,20,-20,,,,
20.71,0,0,5.47,-0.6,79.65,99.43,20,-20,,,,
22.05,0,0,5.47,-0.57,80.27,98.77,20,-20,,,,
23.41,0,0,5.46,-0.52,80.95,97.98,20,-20,,,,
24.25,0,0,5.47,-0.49,81.43,97.56,20,-20,,,,
25.54,0,0,5.46,-0.44,82.18,96.75,20,-20,,,,
26.47,0,0,5.47,-0.41,82.81,96.2,20,-20,,,,
27.83,0,0,5.47,-0.35,83.72,95.32,20,-20,,,,
29.06,0,0,5.47,-0.3,84.55,94.44,20,-20,,,,
29.96,0,0,5.47,-0.26,85.25,93.85,20,-20,,,,
31.25,0,0,5.47,-0.2,86.29,92.88,20,-20,,,,
32.55,0,0,5.47,-0.14,87.36,91.87,20,-20,,,,
33.62,0,0,5.48,-0.09,88.24,91.03,20,-20,,,,
34.74,0,0,5.47,-0.03,89.08,90.04,20,-20,,,,
36.06,0,0,5.48,0.04,90.35,88.92,20,-20,,,,
37.01,0,0,5.48,0.09,91.21,88.13,20,-20,,,,
38.3,0,0,5.48,0.16,92.44,87.06,20,-20,,,,
39.59,0,0,5.48,0.24,93.63,85.74,20,-20,,,,
40.56,0,0,5.48,0.3,94.61,84.88,20,-20,,,,
41.85,0,0,5.48,0.38,95.89,83.61,20,-20,,,,
42.68,0,0,5.48,0.43,96.75,82.81,20,-20,,,,
43.97,0,0,5.48,0.51,98.04,81.43,20,-20,,,,
45.26,0,0,5.48,0.59,99.4,80.09,20,-20,,,,
46.29,0,0,5.48,0.66,100.5,78.97,20,-20,,,,
47.53,0,0,5.48,0.74,101.84,77.54,20,-20,,,,
48.91,0,0,5.48,0.83,103.34,76.05,20,-20,,,,
49.73,0,0,5.48,0.89,104.3,75.08,20,-20,,,,
51.03,0,0,5.48,0.99,105.8,73.52,20,-20,,,,
52.33,0,0,5.48,1.08,107.42,71.98,20,-20,,,,
53.27,0,0,5.48,1.15,108.59,70.77,20,-20,,,,
54.64,0,0,5.48,1.26,110.35,69.04,20,-20,,,,
55.81,0,0,5.49,1.35,111.97,67.7,20,-20,,,,
56.75,0,0,5.48,1.43,113.07,66.4,20,-20,,,,
58.08,0,0,5.48,1.54,114.96,64.56,20,-20,,,,
59.38,0,0,5.48,1.65,116.72,62.8,20,-20,,,,
60.32,0,0,5.49,1.72,118.04,61.57,20,-20,,,,
61.63,0,0,5.48,1.83,119.77,59.74,20,-20,,,,
62.95,0,0,5.48,1.95,121.62,57.92,20,-20,,,,
63.78,0,0,5.49,2.02,122.85,56.8,20,-20,,,,
65.08,0,0,5.49,2.13,124.72,54.95,20,-20,,,,
66.1,0,0,5.48,2.22,126.12,53.42,20,-20,,,,
67.39,0,0,5.48,2.34,128.08,51.48,20,-20,,,,
68.64,0,0,5.49,2.46,130.1,49.57,20,-20,,,,
69.5,0,0,5.48,2.54,131.4,48.16,20,-20,,,,
70.8,0,0,5.49,2.67,133.53,46.21,20,-20,,,,
72.11,0,0,5.49,2.8,135.68,44.06,20,-20,,,,
73.19,0,0,5.49,2.9,137.4,42.32,20,-20,,,,
74.32,0,0,5.49,3.02,139.28,40.39,20,-20,,,,
75.65,0,0,5.49,3.15,141.42,38.3,20,-20,,,,
76.56,0,0,5.49,3.25,142.98,36.69,20,-20,,,,
77.87,0,0,5.49,3.38,145.15,34.5,20,-20,,,,
79.17,0,0,5.49,3.51,147.37,32.3,20,-20,,,,
80.2,0,0,5.49,3.62,149.13,30.61,0,0,,,,
81.45,0,0,5.49,3.75,151.3,28.45,0,0,,,,
82.7,0,0,5.49,3.87,153.3,26.46,0,0,,,,
83.54,0,0,5.49,3.96,154.71,25.05,0,0,,,,
84.8,0,0,5.49,4.08,156.71,23.01,0,0,,,,
85.79,0,0,5.49,4.18,158.27,21.49,0,0,,,,
87,0,0,5.49,4.3,160.27,19.51,0,0,,,,
87.84,0,0,5.49,4.38,161.59,18.15,0,0,,,,
89.11,0,0,5.49,4.51,163.78,16.11,0,0,,,,
90.11,0,0,5.49,4.61,165.43,14.37,0,0,,,,
91.35,0,0,5.49,4.74,167.5,12.26,0,0,,,,
92.59,0,0,5.49,4.87,169.69,10.2,0,0,,,,
93.44,0,0,5.5,4.96,171.1,8.81,0,0,,,,
94.69,0,0,5.5,5.08,173.19,6.86,0,0,,,,
95.7,0,0,5.5,5.18,174.79,5.14,0,0,,,,
96.82,0,0,5.5,5.28,176.46,3.52,0,0,,,,
97.74,0,0,5.49,5.37,177.78,2.07,0,0,,,,
99,0,0,5.49,5.48,179.67,0.15,0,0,,,,
99.9,0,0,5.49,5.57,181.05,-1.21,0,0,,,,
101.23,0,0,5.49,5.69,183.03,-3.19,0,0,,,,
102.05,0,0,5.49,5.76,184.22,-4.37,0,0,,,,
103.33,0,0,5.49,5.88,186.15,-6.35,0,0,,,,
104.6,0,0,5.49,5.99,188,-8.17,0,0,,,,
105.57,0,0,5.49,6.08,189.43,-9.6,0,0,,,,
106.88,0,0,5.49,6.19,191.32,-11.47,0,0,,,,
107.69,0,0,5.49,6.27,192.55,-12.66,0,0,,,,
108.98,0,0,5.49,6.38,194.33,-14.44,0,0,,,,
110.27,0,0,5.5,6.49,196.22,-16.19,0,0,,,,
111.2,0,0,5.49,6.56,197.38,-17.49,0,0,,,,
112.53,0,0,5.49,6.67,199.18,-19.36,0,0,,,,
113.83,0,0,5.49,6.78,200.87,-21.01,0,0,,,,
114.65,0,0,5.49,6.84,201.88,-22.08,0,0,,,,
115.94,0,0,5.49,6.95,203.62,-23.82,0,0,,,,
116.96,0,0,5.49,7.03,204.98,-25.11,0,0,,,,
118.24,0,0,5.5,7.13,206.7,-26.76,0,0,,,,
119.48,0,0,5.49,7.23,208.21,-28.37,0,0,,,,
120.34,0,0,5.49,7.28,209.09,-29.42,0,0,,,,
121.64,0,0,5.49,7.39,210.89,-31.05,0,0,,,,
122.65,0,0,5.49,7.46,212.15,-32.26,0,0,,,,
123.92,0,0,5.49,7.56,213.73,-33.86,0,0,,,,
125.24,0,0,5.49,7.66,215.27,-35.46,0,0,,,,
126.06,0,0,5.5,7.72,216.34,-36.41,0,0,,,,
127.34,0,0,5.49,7.81,217.86,-37.97,0,0,,,,
128.64,0,0,5.49,7.91,219.42,-39.53,0,0,,,,
129.56,0,0,5.49,7.97,220.45,-40.61,0,0,,,,
130.9,0,0,5.49,8.07,222.01,-42.12,0,0,,,,
132.2,0,0,5.5,8.16,223.51,-43.57,0,0,,,,
133.02,0,0,5.49,8.21,224.27,-44.52,0,0,,,,
134.3,0,0,5.49,8.29,225.62,-45.83,0,0,,,,
135.34,0,0,5.49,8.36,226.69,-46.89,0,0,,,,
136.52,0,0,5.49,8.43,227.99,-48.1,0,0,,,,
137.83,0,0,5.5,8.52,229.46,-49.53,0,0,,,,
138.71,0,0,5.49,8.58,230.3,-50.47,0,0,,,,
140.01,0,0,5.5,8.66,231.72,-51.79,0,0,,,,
141.3,0,0,5.49,8.74,233.02,-53.17,0,0,,,,
142.28,0,0,5.5,8.81,234.12,-54.21,0,0,,,,
143.6,0,0,5.49,8.89,235.44,-55.59,0,0,,,,
144.42,0,0,5.49,8.94,236.32,-56.47,0,0,,,,
145.71,0,0,5.49,9.02,237.52,-57.63,0,0,,,,
147,0,0,5.49,9.09,238.67,-59.04,0,0,,,,
147.93,0,0,5.49,9.14,239.52,-59.81,0,0,,,,
149.26,0,0,5.49,9.22,240.82,-61.02,0,0,,,,
150.57,0,0,5.49,9.29,241.98,-62.29,0,0,,,,
151.38,0,0,5.49,9.34,242.89,-63.02,0,0,,,,
152.67,0,0,5.49,9.41,244.01,-64.18,0,0,,,,
153.68,0,0,5.49,9.47,245,-65.1,0,0,,,,
154.99,0,0,5.49,9.54,246.01,-66.34,0,0,,,,
156.19,0,0,5.49,9.61,247.15,-67.39,0,0,,,,
157.07,0,0,5.49,9.65,247.87,-68.14,0,0,,,,
158.37,0,0,5.49,9.72,248.93,-69.17,0,0,,,,
159.66,0,0,5.49,9.79,250.11,-70.31,0,0,,,,
========================= [SUCCESS] Took 11.90 seconds =========================,,,,,,,,,,,,
