Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,,,,
0.83,0,0,-8.93,-0.23,-149.92,-142.36,50,-50,,,,
2.25,0,0,-8.93,-0.21,-149.52,-142.69,50,-50,,,,
3.07,0,0,-8.93,-0.18,-149.13,-143.2,50,-50,,,,
4.41,0,0,-8.93,-0.13,-148.25,-144.01,50,-50,,,,
5.75,0,0,-8.92,-0.07,-147.19,-144.89,50,-50,,,,
7.09,0,0,-8.92,-0.03,-146.51,-145.66,50,-50,,,,
8.27,0,0,-8.93,0.01,-145.9,-146.34,50,-50,,,,
9.47,0,0,-8.93,0.04,-145.52,-146.87,50,-50,,,,
10.87,0,0,-8.94,0.08,-144.95,-147.63,50,-50,,,,
12.16,0,0,-8.94,0.13,-144.16,-148.51,50,-50,,,,
13.52,0,0,-8.94,0.19,-143.31,-149.44,50,-50,,,,
14.36,0,0,-8.95,0.23,-142.76,-150.18,50,-50,,,,
15.71,0,0,-8.95,0.31,-141.37,-151.63,50,-50,,,,
17.04,0,0,-8.95,0.42,-139.66,-153.41,50,-50,,,,
18.39,0,0,-8.94,0.53,-137.72,-155.06,50,-50,,,,
19.54,0,0,-8.94,0.63,-135.99,-156.73,50,-50,,,,
20.75,0,0,-8.94,0.74,-134.27,-158.4,50,-50,,,,
22.15,0,0,-8.94,0.86,-132.17,-160.4,50,-50,,,,
23.53,0,0,-8.93,0.99,-129.95,-162.51,50,-50,,,,
24.83,0,0,-8.93,1.12,-127.84,-164.64,50,-50,,,,
25.67,0,0,-8.93,1.2,-126.47,-165.89,50,-50,,,,
27.01,0,0,-8.94,1.35,-124.19,-168.38,50,-50,,,,
28.35,0,0,-8.94,1.49,-121.9,-170.82,50,-50,,,,
29.69,0,0,-8.94,1.65,-119.44,-173.41,50,-50,,,,
30.88,0,0,-8.94,1.79,-117.05,-175.76,50,-50,,,,
32.08,0,0,-8.94,1.96,-114.32,-178.46,50,-50,,,,
33.48,0,0,-8.94,2.16,-110.94,-181.6,50,-50,,,,
34.8,0,0,-8.94,2.36,-107.69,-184.86,50,-50,,,,
36.18,0,0,-8.94,2.57,-104.3,-188.33,50,-50,,,,
36.99,0,0,-8.93,2.7,-102.11,-190.42,50,-50,,,,
38.35,0,0,-8.94,2.9,-98.83,-193.8,50,-50,,,,
39.69,0,0,-8.94,3.11,-95.47,-197.18,50,-50,,,,
41.03,0,0,-8.94,3.31,-92.07,-200.57,50,-50,,,,
42.08,0,0,-8.94,3.49,-89.23,-203.36,50,-50,,,,
43.45,0,0,-8.94,3.72,-85.34,-207.22,50,-50,,,,
44.65,0,0,-8.93,3.94,-81.78,-210.74,50,-50,,,,
46.02,0,0,-8.94,4.2,-77.61,-214.96,50,-50,,,,
47.42,0,0,-8.94,4.47,-73.17,-219.46,50,-50,,,,
48.24,0,0,-8.94,4.63,-70.42,-222.17,50,-50,,,,
49.58,0,0,-8.94,4.9,-66.03,-226.54,50,-50,,,,
50.92,0,0,-8.94,5.17,-61.61,-230.93,50,-50,,,,
51.97,0,0,-8.94,5.39,-58.12,-234.51,50,-50,,,,
53.34,0,0,-8.94,5.67,-53.53,-239.11,50,-50,,,,
54.54,0,0,-8.94,5.91,-49.53,-243.11,50,-50,,,,
55.91,0,0,-8.94,6.2,-44.74,-247.85,50,-50,,,,
57.31,0,0,-8.93,6.52,-39.55,-252.93,50,-50,,,,
58.13,0,0,-8.93,6.71,-36.45,-256.07,50,-50,,,,
59.47,0,0,-8.93,7.03,-31.22,-261.3,50,-50,,,,
60.81,0,0,-8.94,7.34,-26.13,-266.46,50,-50,,,,
61.86,0,0,-8.94,7.6,-21.95,-270.66,50,-50,,,,
63.23,0,0,-8.93,7.92,-16.55,-275.98,50,-50,,,,
64.43,0,0,-8.93,8.23,-11.58,-280.92,50,-50,,,,
65.8,0,0,-8.93,8.57,-6.02,-286.5,50,-50,,,,
66.67,0,0,-8.93,8.79,-2.42,-290.1,50,-50,,,,
67.98,0,0,-8.93,9.11,2.94,-295.42,50,-50,,,,
69.28,0,0,-8.94,9.46,8.57,-301.16,50,-50,,,,
70.46,0,0,-8.94,9.78,13.75,-306.36,50,-50,,,,
71.62,0,0,-8.94,10.09,18.94,-311.48,50,-50,,,,
73.02,0,0,-8.93,10.49,25.47,-317.9,50,-50,,,,
74.31,0,0,-8.93,10.85,31.31,-323.79,50,-50,,,,
75.7,0,0,-8.93,11.25,37.9,-330.27,50,-50,,,,
76.52,0,0,-8.93,11.48,41.66,-334.12,50,-50,,,,
77.85,0,0,-8.93,11.86,47.86,-340.36,50,-50,,,,
79.17,0,0,-8.94,12.24,54.03,-346.62,50,-50,,,,
80.25,0,0,-8.94,12.56,59.35,-351.98,0,0,,,,
81.48,0,0,-8.94,12.93,65.35,-358.02,0,0,,,,
82.82,0,0,-8.94,13.31,71.54,-364.26,0,0,,,,
84.13,0,0,-8.94,13.67,77.28,-370.13,0,0,,,,
84.96,0,0,-8.94,13.89,80.95,-373.78,0,0,,,,
86.27,0,0,-8.95,14.25,86.84,-379.82,0,0,,,,
87.28,0,0,-8.95,14.54,91.43,-384.59,0,0,,,,
88.57,0,0,-8.95,14.91,97.56,-390.61,0,0,,,,
89.81,0,0,-8.95,15.27,103.47,-396.52,0,0,,,,
90.71,0,0,-8.95,15.53,107.75,-400.85,0,0,,,,
92.04,0,0,-8.95,15.92,114.19,-407.18,0,0,,,,
93.35,0,0,-8.95,16.3,120.34,-413.46,0,0,,,,
94.33,0,0,-8.95,16.59,125,-418.03,0,0,,,,
95.7,0,0,-8.95,16.96,131.2,-424.23,0,0,,,,
96.92,0,0,-8.95,17.29,136.49,-429.48,0,0,,,,
98.27,0,0,-8.95,17.64,142.25,-435.39,0,0,,,,
99.1,0,0,-8.96,17.86,145.7,-438.95,0,0,,,,
100.43,0,0,-8.96,18.2,151.19,-444.55,0,0,,,,
101.75,0,0,-8.96,18.55,156.99,-450.31,0,0,,,,
102.83,0,0,-8.96,18.83,161.56,-454.92,0,0,,,,
104.05,0,0,-8.96,19.15,166.84,-460.2,0,0,,,,
105.4,0,0,-8.96,19.5,172.66,-465.93,0,0,,,,
106.76,0,0,-8.96,19.85,178.37,-471.64,0,0,,,,
107.59,0,0,-8.95,20.07,181.91,-475.09,0,0,,,,
108.92,0,0,-8.96,20.41,187.43,-480.65,0,0,,,,
110.22,0,0,-8.96,20.73,192.74,-485.95,0,0,,,,
111.34,0,0,-8.95,21,197.34,-490.34,0,0,,,,
112.49,0,0,-8.95,21.28,201.84,-494.93,0,0,,,,
113.88,0,0,-8.95,21.61,207.22,-500.27,0,0,,,,
115.25,0,0,-8.95,21.92,212.41,-505.35,0,0,,,,
116.07,0,0,-8.95,22.11,215.53,-508.49,0,0,,,,
117.41,0,0,-8.95,22.43,220.63,-513.68,0,0,,,,
118.71,0,0,-8.95,22.73,225.55,-518.73,0,0,,,,
119.84,0,0,-8.95,23,229.97,-523.08,0,0,,,,
120.99,0,0,-8.95,23.27,234.36,-527.37,0,0,,,,
122.39,0,0,-8.95,23.58,239.55,-532.55,0,0,,,,
123.75,0,0,-8.95,23.89,244.62,-537.67,0,0,,,,
124.58,0,0,-8.95,24.08,247.63,-540.75,0,0,,,,
125.91,0,0,-8.95,24.37,252.42,-545.58,0,0,,,,
127.22,0,0,-8.95,24.65,257.04,-550.13,0,0,,,,
128.23,0,0,-8.96,24.87,260.51,-553.71,0,0,,,,
129.61,0,0,-8.95,25.15,265.19,-558.35,0,0,,,,
130.83,0,0,-8.95,25.42,269.52,-562.7,0,0,,,,
132.17,0,0,-8.96,25.7,274.13,-567.36,0,0,,,,
133.05,0,0,-8.96,25.89,277.21,-570.41,0,0,,,,
134.36,0,0,-8.96,26.17,281.69,-574.98,0,0,,,,
135.67,0,0,-8.96,26.44,286.15,-579.38,0,0,,,,
136.82,0,0,-8.96,26.68,290.08,-583.33,0,0,,,,
138,0,0,-8.96,26.91,293.91,-587.18,0,0,,,,
139.4,0,0,-8.96,27.19,298.43,-591.77,0,0,,,,
140.66,0,0,-8.96,27.44,302.5,-595.9,0,0,,,,
141.53,0,0,-8.96,27.61,305.31,-598.62,0,0,,,,
142.86,0,0,-8.96,27.87,309.55,-602.89,0,0,,,,
144.18,0,0,-8.96,28.12,313.53,-607.04,0,0,,,,
145.24,0,0,-8.96,28.32,316.85,-610.31,0,0,,,,
146.5,0,0,-8.96,28.56,320.76,-614.25,0,0,,,,
147.9,0,0,-8.96,28.82,325.04,-618.53,0,0,,,,
149.1,0,0,-8.97,29.04,328.67,-622.2,0,0,,,,
150.04,0,0,-8.96,29.22,331.55,-625.06,0,0,,,,
151.37,0,0,-8.97,29.46,335.46,-629.1,0,0,,,,
152.71,0,0,-8.97,29.7,339.46,-632.99,0,0,,,,
154.02,0,0,-8.97,29.93,343.26,-636.79,0,0,,,,
155.02,0,0,-8.96,30.12,346.27,-639.71,0,0,,,,
156.4,0,0,-8.96,30.35,350.13,-643.62,0,0,,,,
157.57,0,0,-8.97,30.56,353.47,-647.03,0,0,,,,
158.53,0,0,-8.97,30.73,356.22,-649.8,0,0,,,,
159.85,0,0,-8.96,30.95,359.87,-653.33,0,0,,,,
========================= [SUCCESS] Took 11.75 seconds =========================,,,,,,,,,,,,
