Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,,,,
0.84,0,0,-5.47,0.48,-81.76,-97.49,-70,-70,,,,
2.29,0,0,-5.51,0.48,-82.22,-98.06,-70,-70,,,,
3.13,0,0,-5.55,0.48,-82.95,-98.68,-70,-70,,,,
4.3,0,0,-5.62,0.48,-84.05,-99.89,-70,-70,,,,
5.59,0,0,-5.72,0.48,-85.78,-101.54,-70,-70,,,,
6.77,0,0,-5.82,0.48,-87.45,-103.23,-70,-70,,,,
7.98,0,0,-5.93,0.48,-89.25,-105.03,-70,-70,,,,
9.34,0,0,-6.07,0.47,-91.71,-107.14,-70,-70,,,,
10.73,0,0,-6.24,0.47,-94.46,-109.95,-70,-70,,,,
11.56,0,0,-6.36,0.47,-96.48,-111.82,-70,-70,,,,
12.91,0,0,-6.57,0.47,-99.76,-115.29,-70,-70,,,,
14.24,0,0,-6.81,0.49,-103.4,-119.47,-70,-70,,,,
15.58,0,0,-7.08,0.5,-107.73,-124.04,-70,-70,,,,
16.82,0,0,-7.35,0.5,-112.1,-128.5,-70,-70,,,,
18.04,0,0,-7.62,0.5,-116.54,-132.78,-70,-70,,,,
19.42,0,0,-7.93,0.49,-121.75,-137.75,-70,-70,,,,
20.68,0,0,-8.23,0.48,-126.91,-142.65,-70,-70,,,,
22.08,0,0,-8.61,0.48,-133.13,-148.86,-70,-70,,,,
23.47,0,0,-9.01,0.48,-139.66,-155.37,-70,-70,,,,
24.78,0,0,-9.41,0.48,-146.12,-161.83,-70,-70,,,,
25.66,0,0,-9.68,0.48,-150.53,-166.35,-70,-70,,,,
27.01,0,0,-10.14,0.48,-158.05,-173.89,-70,-70,,,,
28.37,0,0,-10.62,0.48,-165.98,-181.65,-70,-70,,,,
29.72,0,0,-11.1,0.49,-173.72,-189.69,-70,-70,,,,
30.92,0,0,-11.53,0.49,-180.77,-196.88,-70,-70,,,,
32.21,0,0,-12.03,0.49,-188.77,-204.96,-70,-70,,,,
33.48,0,0,-12.52,0.5,-196.83,-213.11,-70,-70,,,,
34.88,0,0,-13.1,0.49,-206.35,-222.45,-70,-70,,,,
36.26,0,0,-13.68,0.49,-215.95,-232.05,-70,-70,,,,
37.65,0,0,-14.3,0.49,-226.05,-242.09,-70,-70,,,,
39,0,0,-14.9,0.49,-235.92,-252.07,-70,-70,,,,
40.4,0,0,-15.55,0.49,-246.51,-262.57,-70,-70,,,,
41.23,0,0,-15.94,0.49,-252.93,-269.08,-70,-70,,,,
42.6,0,0,-16.59,0.5,-263.5,-279.76,-70,-70,,,,
43.96,0,0,-17.27,0.49,-274.66,-290.68,-70,-70,,,,
45.32,0,0,-17.95,0.49,-285.8,-301.93,-70,-70,,,,
46.68,0,0,-18.65,0.5,-297.27,-313.48,-70,-70,,,,
47.84,0,0,-19.27,0.5,-307.27,-323.57,-70,-70,,,,
49.13,0,0,-19.97,0.5,-318.74,-334.95,-70,-70,,,,
50.53,0,0,-20.74,0.5,-331.3,-347.76,0,0,,,,
51.78,0,0,-21.44,0.5,-342.88,-359.12,0,0,,,,
53.14,0,0,-22.18,0.5,-354.75,-371.27,0,0,,,,
54.49,0,0,-22.88,0.51,-366.24,-382.9,0,0,,,,
55.31,0,0,-23.31,0.51,-373.32,-389.93,0,0,,,,
56.64,0,0,-24,0.5,-384.76,-401.13,0,0,,,,
57.96,0,0,-24.68,0.5,-395.88,-412.19,0,0,,,,
59.01,0,0,-25.2,0.5,-404.41,-420.62,0,0,,,,
60.29,0,0,-25.82,0.49,-414.58,-430.69,0,0,,,,
61.65,0,0,-26.45,0.5,-424.84,-441.19,0,0,,,,
62.93,0,0,-27.04,0.5,-434.51,-450.81,0,0,,,,
63.79,0,0,-27.43,0.5,-440.82,-457.16,0,0,,,,
65.12,0,0,-28.01,0.5,-450.33,-466.72,0,0,,,,
66.43,0,0,-28.58,0.5,-459.54,-476.06,0,0,,,,
67.51,0,0,-29.03,0.51,-466.94,-483.55,0,0,,,,
68.73,0,0,-29.53,0.51,-475.07,-491.79,0,0,,,,
70.12,0,0,-30.09,0.52,-484.1,-501,0,0,,,,
71.45,0,0,-30.6,0.51,-492.56,-509.37,0,0,,,,
72.28,0,0,-30.91,0.52,-497.57,-514.51,0,0,,,,
73.61,0,0,-31.41,0.52,-505.74,-522.71,0,0,,,,
74.91,0,0,-31.89,0.52,-513.46,-530.53,0,0,,,,
76.02,0,0,-32.28,0.53,-519.83,-537.03,0,0,,,,
77.17,0,0,-32.68,0.52,-526.42,-543.52,0,0,,,,
78.56,0,0,-33.15,0.53,-534,-551.23,0,0,,,,
79.93,0,0,-33.6,0.53,-541.38,-558.61,0,0,,,,
80.76,0,0,-33.87,0.53,-545.78,-563.01,0,0,,,,
82.09,0,0,-34.28,0.53,-552.41,-569.88,0,0,,,,
83.39,0,0,-34.67,0.53,-558.74,-576.25,0,0,,,,
84.52,0,0,-34.99,0.54,-564.08,-581.66,0,0,,,,
85.68,0,0,-35.31,0.54,-569.31,-586.91,0,0,,,,
87.07,0,0,-35.7,0.54,-575.57,-593.22,0,0,,,,
88.44,0,0,-36.06,0.54,-581.42,-599.08,0,0,,,,
89.26,0,0,-36.27,0.54,-585.04,-602.6,0,0,,,,
90.59,0,0,-36.61,0.54,-590.41,-608.14,0,0,,,,
91.91,0,0,-36.93,0.54,-595.63,-613.45,0,0,,,,
92.92,0,0,-37.17,0.55,-599.52,-617.45,0,0,,,,
94.29,0,0,-37.5,0.55,-604.86,-622.79,0,0,,,,
95.49,0,0,-37.77,0.55,-609.32,-627.25,0,0,,,,
96.83,0,0,-38.07,0.55,-614.2,-632.22,0,0,,,,
97.74,0,0,-38.26,0.55,-617.28,-635.38,0,0,,,,
99.06,0,0,-38.53,0.56,-621.69,-639.89,0,0,,,,
========================= [SUCCESS] Took 10.96 seconds =========================,,,,,,,,,,,,
