Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,,,,
0.84,0,0,-0.45,0.6,2.44,-17.12,70,-70,,,,
1.67,0,0,-0.45,0.6,2.5,-17.25,70,-70,,,,
2.97,0,0,-0.44,0.65,3.36,-17.86,70,-70,,,,
4.27,0,0,-0.43,0.73,4.81,-18.94,70,-70,,,,
5.25,0,0,-0.42,0.78,5.87,-19.64,70,-70,,,,
6.51,0,0,-0.4,0.85,7.34,-20.52,70,-70,,,,
7.35,0,0,-0.4,0.88,7.95,-20.94,70,-70,,,,
8.63,0,0,-0.39,0.94,9.05,-21.69,70,-70,,,,
9.92,0,0,-0.38,0.99,10.09,-22.39,70,-70,,,,
11.03,0,0,-0.37,1.04,10.92,-23.09,70,-70,,,,
12.11,0,0,-0.37,1.09,11.87,-23.88,70,-70,,,,
13.47,0,0,-0.37,1.17,13.18,-25.16,70,-70,,,,
14.44,0,0,-0.36,1.24,14.28,-26.19,70,-70,,,,
15.74,0,0,-0.37,1.35,16.06,-28.12,70,-70,,,,
17.06,0,0,-0.37,1.48,18.15,-30.41,70,-70,,,,
18.01,0,0,-0.37,1.6,20.02,-32.21,70,-70,,,,
19.38,0,0,-0.38,1.77,22.63,-35.18,70,-70,,,,
20.62,0,0,-0.38,1.92,25.27,-37.68,70,-70,,,,
22,0,0,-0.37,2.1,28.19,-40.45,70,-70,,,,
22.84,0,0,-0.37,2.2,29.88,-42.03,70,-70,,,,
24.16,0,0,-0.36,2.36,32.65,-44.56,70,-70,,,,
25.48,0,0,-0.36,2.53,35.53,-47.33,70,-70,,,,
26.43,0,0,-0.37,2.66,37.62,-49.61,70,-70,,,,
27.81,0,0,-0.37,2.88,41.09,-53.17,70,-70,,,,
28.98,0,0,-0.38,3.07,44.08,-56.4,70,-70,,,,
29.94,0,0,-0.38,3.24,46.85,-59.17,70,-70,,,,
31.25,0,0,-0.37,3.48,50.82,-63,70,-70,,,,
32.56,0,0,-0.36,3.71,54.84,-66.77,70,-70,,,,
33.6,0,0,-0.35,3.93,58.49,-70.03,70,-70,,,,
34.84,0,0,-0.36,4.16,62.31,-73.98,70,-70,,,,
36.21,0,0,-0.36,4.44,66.86,-78.57,70,-70,,,,
37.49,0,0,-0.36,4.71,71.24,-83.03,70,-70,,,,
38.35,0,0,-0.36,4.89,74.2,-85.94,70,-70,,,,
39.66,0,0,-0.35,5.17,79.04,-90.35,70,-70,,,,
40.69,0,0,-0.35,5.4,82.68,-94.04,70,-70,,,,
41.96,0,0,-0.35,5.68,87.3,-98.81,70,-70,,,,
43.31,0,0,-0.35,6.01,92.57,-104.15,70,-70,,,,
44.56,0,0,-0.35,6.32,97.73,-109.29,70,-70,,,,
45.46,0,0,-0.34,6.55,101.56,-112.85,70,-70,,,,
46.79,0,0,-0.34,6.9,107.29,-118.5,70,-70,,,,
48.12,0,0,-0.35,7.25,112.96,-124.43,70,-70,,,,
49.19,0,0,-0.36,7.55,117.71,-129.33,70,-70,,,,
50.49,0,0,-0.35,7.92,123.82,-135.35,0,0,,,,
51.84,0,0,-0.34,8.29,130.03,-141.33,0,0,,,,
53.04,0,0,-0.34,8.6,135.26,-146.27,0,0,,,,
53.95,0,0,-0.33,8.81,138.8,-149.72,0,0,,,,
55.25,0,0,-0.34,9.12,143.7,-154.75,0,0,,,,
56.54,0,0,-0.34,9.43,148.78,-159.96,0,0,,,,
57.58,0,0,-0.34,9.69,153.13,-164.27,0,0,,,,
58.81,0,0,-0.33,10.02,158.53,-169.48,0,0,,,,
60.17,0,0,-0.34,10.4,164.75,-175.74,0,0,,,,
60.99,0,0,-0.33,10.63,168.57,-179.54,0,0,,,,
62.32,0,0,-0.34,11.02,174.88,-185.93,0,0,,,,
63.61,0,0,-0.33,11.4,181.16,-192.06,0,0,,,,
64.71,0,0,-0.33,11.7,186.15,-196.94,0,0,,,,
65.84,0,0,-0.33,12,190.96,-201.84,0,0,,,,
67.18,0,0,-0.33,12.33,196.44,-207.36,0,0,,,,
68.11,0,0,-0.33,12.55,200.06,-210.92,0,0,,,,
69.43,0,0,-0.34,12.86,204.9,-215.99,0,0,,,,
70.74,0,0,-0.34,13.17,209.93,-221.13,0,0,,,,
71.73,0,0,-0.34,13.4,213.77,-224.96,0,0,,,,
73.1,0,0,-0.34,13.74,219.22,-230.49,0,0,,,,
74.31,0,0,-0.34,14.04,224.12,-235.42,0,0,,,,
75.67,0,0,-0.35,14.37,229.53,-240.97,0,0,,,,
76.5,0,0,-0.35,14.57,232.78,-244.34,0,0,,,,
77.83,0,0,-0.36,14.89,237.99,-249.63,0,0,,,,
79.14,0,0,-0.35,15.21,243.26,-254.79,0,0,,,,
80.2,0,0,-0.35,15.46,247.32,-258.84,0,0,,,,
81.44,0,0,-0.35,15.75,251.98,-263.52,0,0,,,,
82.8,0,0,-0.36,16.05,256.82,-268.53,0,0,,,,
83.61,0,0,-0.36,16.22,259.52,-271.43,0,0,,,,
84.92,0,0,-0.36,16.5,264.2,-275.98,0,0,,,,
86.21,0,0,-0.36,16.78,268.75,-280.5,0,0,,,,
87.37,0,0,-0.37,17.02,272.61,-284.59,0,0,,,,
88.5,0,0,-0.36,17.26,276.64,-288.57,0,0,,,,
89.86,0,0,-0.37,17.56,281.4,-293.42,0,0,,,,
91.2,0,0,-0.37,17.85,286.13,-298.28,0,0,,,,
92.04,0,0,-0.37,18.03,289.12,-301.16,0,0,,,,
93.35,0,0,-0.37,18.32,293.73,-305.95,0,0,,,,
94.39,0,0,-0.37,18.54,297.38,-309.62,0,0,,,,
95.67,0,0,-0.38,18.81,301.82,-314.14,0,0,,,,
97.04,0,0,-0.38,19.09,306.34,-318.65,0,0,,,,
98.2,0,0,-0.38,19.31,309.99,-322.34,0,0,,,,
99.16,0,0,-0.38,19.5,312.93,-325.35,0,0,,,,
========================= [SUCCESS] Took 17.17 seconds =========================,,,,,,,,,,,,
