BEGIN CSV
Fully Homed
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,6.99,5.08,6.99,5.08,197.68,31.27,0.02,-0.00,192.28,-0.02,17.35,9.93,60.00,9.91,36.27,166.62
2.64,7.00,5.08,7.13,5.18,201.50,31.99,-3.62,-0.58,-27.10,-4.34,17.58,10.19,-9.53,5.85,36.27,166.62
10.53,7.15,5.10,7.23,5.23,203.89,32.76,-3.39,0.73,-2.20,3.49,18.19,10.95,15.99,14.44,36.27,166.62
12.99,7.23,5.11,7.32,5.23,205.32,34.19,-3.38,0.44,-2.64,-1.70,18.37,11.17,15.73,9.47,36.27,166.62
15.18,7.31,5.12,7.40,5.21,206.33,35.79,-2.87,0.04,1.77,-3.16,18.51,11.36,20.29,8.20,36.27,166.62
17.63,7.42,5.13,7.53,5.25,209.10,37.29,-3.68,0.10,-8.71,0.52,18.67,11.56,9.96,12.09,36.27,166.62
20.57,7.57,5.15,7.68,5.35,213.34,38.19,-5.19,1.36,-13.14,8.58,18.85,11.80,5.71,20.38,36.27,166.62
22.70,7.69,5.16,7.81,5.42,216.53,39.05,-6.17,2.26,-12.93,9.18,18.97,11.97,6.05,21.15,36.27,166.62
25.39,7.86,5.18,7.93,5.45,218.97,40.67,-5.53,3.07,-0.30,7.73,19.12,12.17,18.82,19.91,36.27,166.62
27.69,8.01,5.20,8.03,5.44,220.59,42.43,-4.27,3.60,6.14,6.89,19.24,12.34,25.38,19.24,36.27,166.62
30.18,8.20,5.22,8.17,5.47,223.36,44.25,-3.67,4.45,1.29,9.51,19.36,12.52,20.65,22.03,36.27,166.62
32.37,8.37,5.24,8.31,5.54,226.66,45.40,-3.80,5.81,-4.09,15.60,19.45,12.66,15.36,28.26,36.27,166.62
34.73,8.57,5.27,8.48,5.60,230.55,47.11,-4.05,6.99,-5.06,14.29,19.55,12.82,14.49,27.10,36.27,166.62
37.00,8.77,5.29,8.62,5.63,233.32,48.93,-3.11,8.10,4.75,15.08,19.64,12.96,24.38,28.03,36.27,166.62
39.59,9.02,5.32,8.81,5.64,236.50,51.86,-1.82,8.73,7.28,11.22,19.73,13.11,27.01,24.34,36.27,166.62
41.96,9.26,5.35,9.02,5.65,240.24,55.11,-1.22,8.91,3.41,8.46,19.80,13.25,23.21,21.71,36.27,166.62
44.73,9.55,5.38,9.27,5.71,245.23,58.25,-0.91,9.97,1.24,14.68,19.88,13.40,21.12,28.07,36.27,166.62
47.65,9.87,5.42,9.55,5.77,250.92,61.90,-0.69,11.01,0.79,15.03,19.95,13.55,20.74,28.58,36.27,166.62
50.21,10.17,5.45,9.81,5.80,255.55,65.61,0.10,11.60,5.49,13.30,20.00,13.67,25.49,26.97,36.27,166.62
52.94,10.50,5.49,10.12,5.81,260.72,70.47,0.98,11.53,6.42,8.80,20.05,13.79,26.47,22.59,36.27,166.62
55.21,10.78,5.52,10.39,5.83,265.44,74.62,1.46,11.50,4.85,8.97,20.08,13.88,24.93,22.85,36.27,166.62
57.61,11.09,5.56,10.70,5.85,271.00,79.34,1.59,11.29,2.24,7.48,20.11,13.98,22.34,21.46,36.27,166.62
59.96,11.41,5.59,11.03,5.89,277.04,84.09,1.29,11.09,-1.24,7.40,20.12,14.06,18.89,21.46,36.27,166.62
62.91,11.82,5.64,11.40,5.93,283.77,89.60,2.03,11.49,5.99,11.56,20.13,14.16,26.13,25.72,36.27,166.62
65.11,12.13,5.68,11.70,5.95,288.95,94.24,2.57,11.39,6.35,8.33,20.13,14.23,26.48,22.56,36.27,166.62
67.86,12.53,5.72,12.11,5.97,295.96,100.52,2.93,10.95,4.65,5.96,20.12,14.31,24.78,20.27,36.27,166.62
70.64,12.95,5.77,12.55,6.00,303.65,107.27,2.91,10.28,2.19,4.03,20.11,14.37,22.30,18.41,36.27,166.62
72.94,13.31,5.81,12.91,6.03,310.11,112.61,2.94,10.09,2.60,6.60,20.08,14.43,22.68,21.02,36.27,166.62
75.37,13.69,5.86,13.30,6.07,317.01,118.30,3.05,9.96,3.27,7.02,20.05,14.47,23.32,21.50,36.27,166.62
77.87,14.10,5.91,13.73,6.10,324.59,124.87,2.88,9.26,1.05,2.50,20.01,14.51,21.06,17.01,36.27,166.62
80.68,14.56,5.96,14.18,6.12,332.26,131.88,3.68,8.96,7.94,5.33,19.95,14.55,27.89,19.88,36.27,166.62
82.90,14.94,6.00,14.56,6.14,338.83,137.81,3.94,8.45,5.25,2.70,19.90,14.57,25.14,17.27,36.27,166.62
85.27,15.34,6.05,14.98,6.18,346.32,143.99,3.89,8.17,2.69,4.46,19.83,14.59,22.52,19.06,36.27,166.62
88.14,15.84,6.11,15.48,6.23,355.51,151.48,3.85,7.93,2.87,4.88,19.74,14.61,22.61,19.48,36.27,166.62
90.43,16.25,6.15,15.89,6.26,362.67,157.63,4.12,7.66,5.33,4.11,19.67,14.61,24.99,18.73,36.27,166.62
92.79,16.68,6.20,16.34,6.29,370.49,164.58,4.06,6.87,2.83,-0.35,19.58,14.61,22.41,14.26,36.27,166.62
95.27,17.13,6.26,16.78,6.32,378.12,171.21,4.72,6.80,8.40,4.92,19.48,14.60,27.87,19.53,36.27,166.62
